PersonID,UNO,SERO,Mode,Alt1_ch,Alt2_ch,Alt3_ch,WEIGHT,DIST,IVTT_DA,OVTT_DA,OVTDS_DA,COST_DA,IVTT_SR,OVTT_SR,OVTDS_SR,COST_SR,IVTT_TR,OVTT_TR,OVTDS_TR,COST_TR,VEHWRK,POPDENS,MALE,AGE,HIGHINC
762,1,0,1,1,0,0,1.8362,3,7,2,0.6667,0.29,9.2,3.1,1.0333,0.14,4.9,28.9,9.6333,0.5,1,2.6,1,57,1
763,1,0,1,1,0,0,1.8362,3,7,2,0.6667,0.29,9.2,3.1,1.0333,0.14,7.2,28.8,9.6,0.5,1,2.6,1,57,1
764,1,0,1,1,0,0,1.8362,9.3,16,5,0.5376,0.91,19,7,0.7527,0.46,29.3,62.8,6.7527,2.9,1,7.08,1,41,0
765,1,0,1,1,0,0,1.8362,8.1,18,5,0.6173,0.79,20.9,7.3,0.9012,0.4,29.8,68.8,8.4938,2.9,1,7.08,1,41,0
766,1,0,3,0,0,1,0.2982,10.5,29,8,0.7619,5.99,32.5,10.4,0.9905,3,19.4,28.3,2.6952,1.5,2,8.59,1,32,0
767,1,0,1,1,0,0,1.8362,2.6,6,2,0.7692,0.25,8,3.1,1.1923,0.13,19.5,43.7,16.8077,1.3,1.3,3.78,1,56,0
768,1,0,3,0,0,1,0.2982,18.1,34,6,0.3315,2.44,42,8,0.442,1.23,47.5,24.1,1.3315,2,1,2.08,1,35,0
769,1,0,3,0,0,1,0.2982,18.8,35,6,0.3191,2.51,43.2,8,0.4255,1.26,47.2,28.3,1.5053,1.25,1,2.08,1,35,0
770,1,0,2,0,1,0,0.6426,3,7,4,1.3333,0.29,9.2,5.9,1.9667,0.14,16.5,45,15,1.9,0.6,6.97,0,49,1
771,1,0,1,1,0,0,1.8362,12.5,18,3,0.24,1.23,22.6,4.4,0.352,0.61,41.3,73.7,5.896,3.5,0.6,6.97,1,49,1
772,1,0,1,1,0,0,1.8362,15.2,22,4,0.2632,1.49,25.5,5.9,0.3882,0.74,58.7,49.3,3.2434,3.5,1,19.99,0,29,1
773,1,0,1,1,0,0,1.8362,9.7,20,5,0.5155,0.95,23.3,7,0.7216,0.48,65.7,58.6,6.0412,2.1,1.5,7.85,1,36,0
774,1,0,1,1,0,0,1.8362,9.4,19,5,0.5319,0.92,23.8,6.8,0.7234,0.46,58.9,59.6,6.3404,2.1,1.5,7.85,1,36,0
775,1,0,2,0,1,0,0.6426,3.3,7,3,0.9091,0.32,9.2,4.9,1.4848,0.16,15,28.7,8.697,4.55,3,1.19,0,46,0
776,1,0,2,0,1,0,0.6426,11.5,18,3,0.2609,1.13,21.1,4.9,0.4261,0.56,38.3,50.9,4.4261,3.5,1.5,6.72,1,43,0
777,1,0,2,0,1,0,0.6426,7.4,15,2,0.2703,0.73,17.8,4.2,0.5676,0.36,8,39.1,5.2838,2.1,1,1.74,1,28,0
778,1,0,1,1,0,0,1.8362,19.3,46,5,0.2591,1.89,51.5,7,0.3627,0.94,68.4,52.9,2.7409,3.5,1,2.08,1,43,1
779,1,0,1,1,0,0,1.8362,17,28,2,0.1176,1.67,31.4,4.2,0.2471,0.83,109.2,43.3,2.5471,4.8,0.8,1.12,0,21,1
780,1,0,1,1,0,0,1.8362,17,22,2,0.1176,1.67,25.5,3.8,0.2235,0.83,93,53.6,3.1529,4.8,0.8,1.12,0,21,1
781,1,0,2,0,1,0,0.6426,2,4,2,1,0.2,5.9,3.8,1.9,0.1,18.2,31.2,15.6,0.75,0.8,1.12,1,60,1
782,1,0,2,0,1,0,0.6426,2,4,2,1,0.2,6.3,4.2,2.1,0.1,18.2,31.2,15.6,0.75,0.8,1.12,1,60,1
783,1,0,3,0,0,1,0.2982,22,42,7,0.3182,7.12,51.7,9.2,0.4182,3.56,24.4,44.9,2.0409,4.65,1,1.54,0,36,1
784,1,0,1,1,0,0,1.8362,8.7,22,8,0.9195,0.85,25.1,10.4,1.1954,0.42,25.6,25.9,2.977,2.4,1,5.2,0,44,0
785,1,0,2,0,1,0,0.6426,18.7,28,3,0.1604,1.83,34.7,4.4,0.2353,0.92,27.3,38.9,2.0802,3.25,2,2.64,1,43,0
786,1,0,1,1,0,0,1.8362,1.9,4,2,1.0526,0.19,5.6,3.1,1.6316,0.1,9.6,22.5,11.8421,0.75,1.5,1.77,1,38,0
787,1,0,1,1,0,0,1.8362,8.7,27,6,0.6897,0.85,30.4,8.4,0.9655,0.42,45.1,26.7,3.069,1.25,1,12.29,0,50,1
788,1,0,1,1,0,0,1.8362,7,13,3,0.4286,0.69,15.7,4.9,0.7,0.34,15,29.4,4.2,3.35,1,1.54,0,40,0
789,1,0,3,0,0,1,0.2982,5.9,15,6,1.0169,0.8,18.9,8,1.3559,0.4,17.2,25.8,4.3729,0.5,0.5,14.51,1,36,0
790,1,0,3,0,0,1,0.2982,22.3,43,8,0.3587,5.87,47.2,10.4,0.4664,2.93,41,24.7,1.1076,2.6,1,8.4,1,44,0
791,1,0,1,1,0,0,1.8362,1.7,4,3,1.7647,0.17,5.9,4.9,2.8824,0.08,35.5,37.9,22.2941,0.6,2,6.39,1,70,0
792,1,0,1,1,0,0,1.8362,0.9,9,4,4.4444,0.09,11.6,5.6,6.2222,0.04,8.9,28,31.1111,0.5,1,19.93,0,35,0
793,1,0,1,1,0,0,1.8362,2.3,7,2,0.8696,0.23,9.4,4.2,1.8261,0.12,5,52.2,22.6957,0.5,1.5,2.1,1,47,1
794,1,0,1,1,0,0,1.8362,4.2,9,2,0.4762,0.41,11.5,4.2,1,0.2,60,58.8,14,3.75,1,2.53,1,36,0
795,1,0,3,0,0,1,0.2982,24,41,8,0.3333,6.03,46,10.3,0.4292,3.02,47.2,20,0.8333,3.2,1,8.14,0,27,0
796,1,0,1,1,0,0,1.8362,12.2,26,2,0.1639,1.2,29.3,4.2,0.3443,0.6,44,45.6,3.7377,1.4,2,0.94,0,51,0
797,1,0,1,1,0,0,1.8362,7.4,14,3,0.4054,0.73,17.7,4.4,0.5946,0.36,59.7,48.6,6.5676,2,0.4,0.83,0,19,0
798,1,0,1,1,0,0,1.8362,19.4,34,6,0.3093,1.9,42,8,0.4124,0.95,56.6,73,3.7629,4,1,0.69,0,47,1
799,1,0,2,0,1,0,0.6426,19.7,41,6,0.3046,1.93,45.1,8.4,0.4264,0.96,56,23.9,1.2132,4.7,1,0.69,0,47,1
800,1,0,1,1,0,0,1.8362,14.2,23,3,0.2113,1.39,26.5,4.9,0.3451,0.69,74,78.4,5.5211,4.9,1,6.37,1,43,0
